#{"t_start": 1589983442.5878537, "env_id": "HalfCheetah-v2"}
r,l,t
6002.333269,1000,2349.058822
6239.500834,1000,2360.66024
6345.112789,1000,2370.271485
6181.74604,1000,2380.308325
6033.591448,1000,2389.976301
6136.977072,1000,2399.587411
6236.805664,1000,2409.124432
6037.317721,1000,2418.648581
6109.500714,1000,2429.748672
6546.617731,1000,2441.180323
6510.439985,1000,2450.740292
6051.415572,1000,2463.043132
5891.969017,1000,2473.352544
6112.175167,1000,2483.232199
6267.702497,1000,2493.274442
6018.401351,1000,2503.358329
6309.101941,1000,2513.475924
6451.296298,1000,2525.94901
6280.58246,1000,2536.707617
6274.394163,1000,2546.791261
6445.77112,1000,2556.816715
6391.44716,1000,2570.780035
6608.61036,1000,2580.894708
2602.513662,1000,2590.930425
6117.004078,1000,2601.600402
6431.98617,1000,2611.96197
6358.989575,1000,2622.289964
6392.084335,1000,2632.996179
6285.473413,1000,2643.409618
6169.400493,1000,2653.525433
6472.596919,1000,2663.482904
6436.067304,1000,2675.558888
6094.278007,1000,2687.50553
6446.3152,1000,2697.987711
6615.648494,1000,2710.446959
6722.272966,1000,2721.396664
6446.566268,1000,2731.806985
6300.738898,1000,2741.430949
6355.701099,1000,2751.646445
6172.877564,1000,2761.986065
6581.350926,1000,2771.922453
6697.192453,1000,2783.779457
6416.397625,1000,2794.213722
6563.940976,1000,2804.228473
6362.120377,1000,2814.495255
6251.068591,1000,2825.073619
6521.019668,1000,2834.596689
6362.057781,1000,2845.104223
6220.690283,1000,2855.668674
6755.5489,1000,2865.40418
6502.217057,1000,2874.938334
6468.172792,1000,2886.265275
6485.796469,1000,2895.813852
6585.325965,1000,2905.33514
6805.607107,1000,2914.878112
6409.999681,1000,2924.427207
6624.804816,1000,2934.65878
6393.637368,1000,2947.61691
6506.398863,1000,2959.632081
6668.043049,1000,2971.214532
6676.930903,1000,2983.052189
6464.686722,1000,2997.696824
6307.717425,1000,3009.595226
6689.844975,1000,3021.69509
6583.369003,1000,3033.092243
6548.481103,1000,3045.439396
6607.514883,1000,3056.942444
6736.674592,1000,3067.883443
6563.549975,1000,3078.873521
6740.566992,1000,3090.689082
6630.281427,1000,3102.745734
