#{"t_start": 1589988983.6938946, "env_id": "HalfCheetah-v2"}
r,l,t
4747.515158,1000,2484.209604
4713.836939,1000,2494.130162
4510.260427,1000,2503.9545
4560.926707,1000,2513.72334
4783.214509,1000,2523.402258
4611.023933,1000,2533.538365
4804.147655,1000,2543.287667
4543.706596,1000,2553.006187
4604.82157,1000,2562.63654
4760.001507,1000,2573.93203
4584.425453,1000,2583.456913
4798.190475,1000,2592.986593
4789.034718,1000,2602.533146
5152.096039,1000,2612.08707
4642.246349,1000,2622.228807
4778.070698,1000,2634.154679
4768.374552,1000,2645.141912
4605.005204,1000,2655.150857
4879.064057,1000,2665.496246
4906.270861,1000,2677.596852
4747.514384,1000,2688.389963
4714.189991,1000,2697.929861
4835.762421,1000,2707.50369
4889.297101,1000,2717.068118
4691.05059,1000,2726.636439
4723.725902,1000,2736.236278
4694.266494,1000,2745.800699
4645.011016,1000,2755.379939
4884.782985,1000,2764.966156
4748.664737,1000,2776.354566
4776.957982,1000,2785.91523
4886.357426,1000,2795.574242
4762.988439,1000,2805.203277
4813.19486,1000,2815.962611
4762.615881,1000,2826.665007
4855.829582,1000,2837.331516
4844.03212,1000,2848.035153
4771.931174,1000,2861.349075
4815.548862,1000,2872.706209
4635.355513,1000,2887.028366
4859.618165,1000,2899.385391
4709.771063,1000,2909.616811
4930.510162,1000,2919.206272
4765.456264,1000,2928.921331
4992.073922,1000,2938.739543
4679.050268,1000,2950.712299
4782.254569,1000,2962.856401
4765.133362,1000,2974.960444
4619.343243,1000,2986.176523
4931.292814,1000,2999.090036
4700.662268,1000,3010.727661
5009.220899,1000,3022.192161
5124.885355,1000,3032.877337
4680.875679,1000,3043.569129
4891.8451,1000,3054.255687
4918.70045,1000,3064.939016
4679.451508,1000,3075.599584
4912.337898,1000,3086.292274
4974.198251,1000,3096.963202
